Winery,Region,Winery tag,Winery tag (EN),Winery note,Winery note (EN),Winery link,Wine,Vintage,Grapes,Alcohol,Price per bottle,SAQ price per case,Agency fee per case,Stock (cases),Tasting note,Tasting note (EN),Pairing,Pairing (EN),Image,Image style,Story,Story (EN),Box size
Quinta da Folgorosa,IGP LISBOA · TORRES VEDRAS,Domaine familial · depuis 1711,Family estate · since 1711,"Au cœur de Torres Vedras, une quinta familiale qui marie cépages portugais et vinification précise en cuve inox.","At the heart of Torres Vedras, a family quinta blending Portuguese grapes with precise stainless-steel vinification.",https://lindeborgwines.com/quinta-folgorosa/,Folgorosa Branco,2021,Arinto 50% · Viosinho 30% · Viognier 20%,"12,5 %","21,95 $","108,60 $","23,10 $",15,"Jaune pâle, agrumes frais, mangue et ananas. Vif et fruité, belle acidité.","Pale yellow, fresh citrus, mango and pineapple. Vivid and fruity, lovely acidity.",Poissons et salades,Fish and salads,wines/folgorosa-white.png,bottle,"À Torres Vedras, rafraîchie par les brises de l'Atlantique, la Quinta da Folgorosa cultive la vigne depuis 1711. Ce blanc d'assemblage en est la version la plus saline et tendue.","In Torres Vedras, cooled by Atlantic breezes, Quinta da Folgorosa has grown vines since 1711. This blended white is its most saline, taut expression.",
Quinta da Folgorosa,,,,,,,Folgorosa Tinto,2018,Touriga Nacional 50% · Aragonez 40% · Alicante Bouschet 10%,"13,5 %","21,95 $","108,60 $","23,10 $",15,"Pourpre, cerise et prune. Tannins souples et longue finale.","Purple hue, cherry and plum. Soft tannins and a long finish.","Viandes rouges, fromages affinés","Red meats, aged cheeses",wines/folgorosa-red.png,bottle,"La Quinta da Folgorosa (1711) marie cépages autochtones et vinification précise en cuve. Ce rouge assemble Touriga Nacional et Aragonez : fruité gourmand, tannins souples.","Quinta da Folgorosa (1711) blends native grapes with precise tank vinification. This red combines Touriga Nacional and Aragonez: generous fruit, soft tannins.",
Quinta da Folgorosa,,,,,,,Folgorosa Alvarinho,2024,Alvarinho 100%,"12,5 %","26,45 $","133,20 $","25,50 $",12,"Jaune pâle, fruits tropicaux et agrumes. Frais, équilibré, beau volume.","Pale yellow, tropical fruit and citrus. Fresh, balanced, good body.","Poisson, viande blanche, fromages relevés","Fish, white meat, sharp cheeses",wines/folgorosa-alvarinho.png,bottle,"Rare si loin du Minho, l'Alvarinho trouve à Torres Vedras un profil solaire mais tendu — signature du terroir atlantique de la Quinta da Folgorosa.","Rare this far from the Minho, Alvarinho finds a sunny yet taut profile in Torres Vedras — the signature of Quinta da Folgorosa's Atlantic terroir.",
Quinta da Folgorosa,,,,,,,Folgorosa Castelão,2021,Castelão 100%,"13,0 %","26,45 $","133,20 $","25,50 $",12,"Rouge rubis éclatant. Arômes délicats de fraises, mûres, cannelle et notes terreuses. Tannins élégants et soyeux, longue finale.","Bright ruby red. Delicate aromas of strawberry, blackberry, cinnamon and earthy notes. Elegant, silky tannins, long finish.",Poissons gras et viandes confites,"Fatty fish and confit meats",wines/folgorosa-castelao.png,bottle,"Cépage emblématique de la région de Lisbonne, le Castelão donne ici un rouge élégant et épicé, vinifié en pureté par la famille de la Quinta da Folgorosa.","The signature grape of the Lisbon region, Castelão yields an elegant, spiced red here, vinified in purity by the Quinta da Folgorosa family.",
Cortém,IGP LISBOA · BIO,Vinhos orgânicos · 2004,Organic wines · since 2004,"Domaine certifié biologique, vinifié sans bois ni additifs, avec de longs élevages en cuve inox.","Certified organic estate, vinified with no oak or additives, with long stainless-steel aging.",https://lindeborgwines.com/vale-de-cortem/,Cortém Tinto,2018,Touriga Nacional 60% · Cabernet Sauvignon 30% · Syrah 10%,"14,8 %","31,40 $","158,40 $","30,00 $",10,"Rouge grenat, riche et corsé, belle acidité. 3 ans en cuve, sans bois ni additifs.","Garnet red, rich and full-bodied, lovely acidity. 3 years in tank, no oak or additives.",Fromages et pâtés,Cheeses and pâtés,wines/cortem-red.png,bottle,"Vale de Cortém, domaine certifié biologique depuis 2004, travaille sans bois ni additifs. Ce rouge s'élève trois ans en cuve avant sa mise — une expression pure de Palmela.","Vale de Cortém, a certified organic estate since 2004, works without oak or additives. This red ages three years in tank before bottling — a pure expression of Palmela.",
Cortém,,,,,,,Cortém Blanc,2018,Sauvignon Blanc 60% · Viognier 40%,"14,8 %","31,40 $","158,40 $","30,00 $",10,"Jaune doré, fleurs blanches et citron. Macération pelliculaire, 24 mois, sans bois.","Golden yellow, white flowers and lemon. Skin-contact maceration, 24 months, no oak.",Fromages et pâtés,Cheeses and pâtés,wines/cortem-orange.png,bottle,"Macéré 24 mois sur peaux et sans bois, ce blanc bio incarne l'audace de Vale de Cortém : un vin de contact, texturé et lumineux.","Macerated on skins for 24 months with no oak, this organic white embodies Vale de Cortém's boldness: a skin-contact wine, textured and luminous.",
Vinha dos 9,IG MINHO · BARCELOS,Quinta de Agrelo · famille depuis 300 ans,Quinta de Agrelo · family since 300 years,"Domaine familial de la vallée de la Neiva, nommé d'après les 9 cousins de la Quinta de Agrelo. Vignes en culture sèche, tradition et amitié.","A family estate in the Neiva valley, named after the 9 cousins of Quinta de Agrelo. Dry-farmed vines, tradition and friendship.",https://vinhados9.pt,Vinha dos 9 Branco,2025,Alvarinho · Chardonnay · Gewurztraminer,"12,5 %","26,95 $","139,50 $","22,20 $",8,"Robe jaune citron, nez de fruits frais et fleurs. Vif, sec et désaltérant — un blanc du Minho plein d'énergie.","Lemon-yellow color, fresh fruit and floral nose. Crisp, dry and thirst-quenching — an energetic Minho white.","Apéritif, poissons, fruits de mer","Aperitif, fish, seafood",wines/vinhados9-branco-photo.png,photo,"À Barcelos, la Quinta de Agrelo appartient à la même famille depuis 300 ans. Neuf cousins — les « 9 » — y perpétuent la vigne en culture sèche, dans la vallée de la Neiva.","In Barcelos, Quinta de Agrelo has belonged to the same family for 300 years. Nine cousins — the '9' — carry on dry-farmed viticulture in the Neiva valley.",
Vinha dos 9,,,,,,,Vinha dos 9 Rosé,2021,Touriga Nacional 33% · Syrah 33% · Pinot Noir 33%,"12,0 %","26,95 $","139,50 $","22,20 $",8,"Vinho Regional Minho, vin tranquille. Robe rosé éclatante, sucre résiduel < 1,5 g/L — sec et vif.","Vinho Regional Minho, a still wine. Bright rosé hue, residual sugar under 1.5 g/L — dry and lively.","Apéritif, cuisine estivale","Aperitif, summer fare",wines/vinhados9-rose.png,bottle,"Cépages français plantés dans le Minho depuis les années 1980, à la Quinta de Agrelo : ce rosé tranquille des « 9 » cousins tranche par sa fraîcheur atlantique.","French grapes planted in the Minho since the 1980s at Quinta de Agrelo: this still rosé from the '9' cousins stands out for its Atlantic freshness.",
Vinha dos 9,,,,,,,Vinha dos 9 Mousseux Brut,,50% Alvarinho · 50% Chardonnay,"12,5 %","43,95 $","112,50 $","19,35 $",12,"Méthode classique, 18 mois sur lattes. Bulles fines, robe jaune citron, nez de fruits mûrs, bouche fraîche et élégante.","Traditional method, 18 months on lees. Fine bubbles, lemon-yellow color, ripe-fruit nose, fresh and elegant palate.","Apéritif, célébrations, sushis","Aperitif, celebrations, sushi",wines/vinhados9-brut-photo.png,photo,"Vinha dos 9, ce sont neuf cousins et 300 ans de tradition à Barcelos. Ce mousseux méthode classique repose 18 mois sur lattes avant dégorgement.","Vinha dos 9 is nine cousins and 300 years of tradition in Barcelos. This traditional-method sparkling wine rests 18 months on lees before disgorgement.",3
Vinha dos 9,,,,,,,Vinha dos 9 Mousseux Rosé Brut,,Pinot Noir · Syrah · Touriga Nacional,"12 %","43,95 $","112,50 $","19,35 $",12,"Méthode classique, 18 mois. Robe saumon aux bulles fines, nez de fruits rouges, bouche vive et sèche.","Traditional method, 18 months. Salmon hue with fine bubbles, red-fruit nose, lively and dry palate.","Apéritif, charcuteries, saumon","Aperitif, charcuterie, salmon",wines/vinhados9-rose-brut.png,bottle,"Des vignes en culture sèche de la Quinta de Agrelo naît ce rosé de méthode classique, hommage des neuf cousins à leur vallée de la Neiva.","Born of the dry-farmed vines of Quinta de Agrelo, this traditional-method rosé is the nine cousins' tribute to their Neiva valley.",3
Vinha dos 9,,,,,,,Vinha dos 9 Mousseux Rosé Demi-Sec,,Pinot Noir · Syrah · Touriga Nacional,"12 %","43,95 $","112,50 $","19,35 $",12,"Méthode classique, 18 mois. Robe saumon, bulles fines et constantes, fruits rouges, finale d'une douceur équilibrée. Servir à 4–6 °C.","Traditional method, 18 months. Salmon hue, fine and steady bubbles, red fruit, a finish of balanced sweetness. Serve at 4–6 °C.","Desserts aux fruits, fromages doux","Fruit desserts, mild cheeses",wines/vinhados9-rose-meiseco.png,bottle,"Version tendre du mousseux rosé des « 9 », demi-sec et festif, né des mêmes vignes familiales de Barcelos vieilles de trois siècles.","A softer take on the '9' rosé sparkling wine, off-dry and festive, born of the same three-century-old family vines in Barcelos.",3
